CMDLINE /usr/local/opt/python/bin/python3.6 trainer.py
MEM 117.726562 1524080156.6742
MEM 118.007812 1524080156.7773
MEM 118.242188 1524080156.8804
MEM 118.496094 1524080156.9824
MEM 118.972656 1524080157.0875
MEM 127.140625 1524080157.1927
MEM 209.617188 1524080157.2957
MEM 293.566406 1524080157.3964
MEM 425.960938 1524080157.4992
MEM 450.917969 1524080157.6017
MEM 451.105469 1524080157.7041
MEM 451.285156 1524080157.8086
MEM 451.468750 1524080157.9102
MEM 451.664062 1524080158.0146
MEM 452.097656 1524080158.1183
MEM 453.574219 1524080158.2190
MEM 457.179688 1524080158.3193
MEM 456.968750 1524080158.4245
MEM 459.324219 1524080158.5282
MEM 460.835938 1524080158.6321
MEM 461.046875 1524080158.7362
MEM 478.578125 1524080158.8417
MEM 492.437500 1524080158.9433
MEM 493.039062 1524080159.0453
MEM 492.894531 1524080159.1470
MEM 492.894531 1524080159.2483
MEM 492.894531 1524080159.3533
MEM 492.894531 1524080159.4550
MEM 492.894531 1524080159.5561
MEM 492.894531 1524080159.6567
MEM 492.894531 1524080159.7604
MEM 492.894531 1524080159.8645
MEM 489.296875 1524080159.9651
MEM 489.296875 1524080160.0683
MEM 489.296875 1524080160.1689
MEM 489.296875 1524080160.2693
MEM 489.296875 1524080160.3715
MEM 489.296875 1524080160.4740
MEM 489.296875 1524080160.5764
MEM 489.296875 1524080160.6788
MEM 489.296875 1524080160.7827
MEM 489.296875 1524080160.8830
MEM 489.496094 1524080160.9880
MEM 489.496094 1524080161.0885
MEM 489.496094 1524080161.1906
MEM 489.496094 1524080161.2918
MEM 489.496094 1524080161.3954
MEM 489.496094 1524080161.4990
MEM 489.878906 1524080161.5996
MEM 493.343750 1524080161.7017
MEM 492.410156 1524080161.8067
MEM 493.140625 1524080161.9075
MEM 491.484375 1524080162.0079
MEM 491.910156 1524080162.1111
MEM 497.593750 1524080162.2160
MEM 497.593750 1524080162.3181
MEM 497.593750 1524080162.4194
MEM 497.593750 1524080162.5217
MEM 497.593750 1524080162.6241
MEM 497.593750 1524080162.7291
MEM 497.593750 1524080162.8293
MEM 497.593750 1524080162.9319
MEM 497.371094 1524080163.0333
MEM 497.371094 1524080163.1338
MEM 497.371094 1524080163.2387
MEM 497.371094 1524080163.3412
MEM 497.371094 1524080163.4416
MEM 497.371094 1524080163.5423
MEM 497.371094 1524080163.6433
MEM 497.371094 1524080163.7450
MEM 497.371094 1524080163.8491
MEM 497.371094 1524080163.9533
MEM 492.269531 1524080164.0546
MEM 492.304688 1524080164.1550
MEM 493.789062 1524080164.2590
MEM 496.437500 1524080164.3598
MEM 499.742188 1524080164.4636
MEM 499.742188 1524080164.5659
MEM 499.742188 1524080164.6674
MEM 499.742188 1524080164.7707
MEM 499.742188 1524080164.8732
MEM 499.742188 1524080164.9735
MEM 499.742188 1524080165.0737
MEM 499.742188 1524080165.1787
MEM 499.742188 1524080165.2799
MEM 495.046875 1524080165.3820
MEM 495.046875 1524080165.4834
MEM 495.046875 1524080165.5888
MEM 495.046875 1524080165.6891
MEM 495.046875 1524080165.7928
MEM 495.046875 1524080165.8980
MEM 495.046875 1524080166.0017
MEM 495.046875 1524080166.1060
MEM 495.046875 1524080166.2107
MEM 495.015625 1524080166.3141
MEM 495.035156 1524080166.4188
MEM 496.550781 1524080166.5199
MEM 496.210938 1524080166.6251
MEM 500.398438 1524080166.7256
MEM 500.246094 1524080166.8261
MEM 500.246094 1524080166.9288
MEM 500.246094 1524080167.0338
MEM 500.246094 1524080167.1387
MEM 500.246094 1524080167.2409
MEM 500.246094 1524080167.3412
MEM 500.246094 1524080167.4416
MEM 500.250000 1524080167.5452
MEM 495.468750 1524080167.6481
MEM 495.468750 1524080167.7508
MEM 495.468750 1524080167.8525
MEM 495.468750 1524080167.9579
MEM 495.468750 1524080168.0622
MEM 495.468750 1524080168.1626
MEM 495.468750 1524080168.2643
